2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.9% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 1.9% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 2.0% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 2.0% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 2.0% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 2.0% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 2.0% - pulling e9758e589d44
2025-12-16 23:17:48 | VLMProcessor | INFO     |   Progress: 2.0% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.1% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.1% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.1% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.1% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.1% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.2% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.2% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.2% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.2% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.2% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.2% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.3% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.3% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.3% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.3% - pulling e9758e589d44
2025-12-16 23:17:49 | VLMProcessor | INFO     |   Progress: 2.3% - pulling e9758e589d44
